reviewId,userName,score,at,content,thumbsUpCount
8849a695-6bb2-4e6a-99c9-ebc0ab7b9ab3,Zea Arsy,5,2026-03-13 00:10:37,ok,0
f1c8ae12-ec06-46d4-a6fe-fc73cc855215,Muhammad Yunus,4,2026-03-13 00:03:52,praktis dan bisa pesan 6h sebelum keberangkatan.,0
913c07db-0463-41f0-beac-81f1767545e2,Betty Puspitasari,1,2026-03-12 23:27:09,"saya membeli tiket prameks melalui kai acces dan membayar lewat qris bca dan gopay,, semua sudah berhasil namun kenapa tiket sya tidak berhasil melalukan pembayaran dan hangus ,jadi sudah kepotong biaya 3x gak ada 1 pun tiket yg berhasil .",0
164c8d07-6313-4a25-8ec5-d600fe176b09,Hery Setyawan,5,2026-03-12 21:01:27,bagus cepat,0
554cf4b2-4d7c-4123-a247-5a8498d0a755,Aji Khun,5,2026-03-12 20:48:40,terimakasih,0
3758ed0a-6765-4e65-a41c-0133e2403ffd,Fakhrudin Panel,5,2026-03-12 20:38:04,perjalanan semakin nyaman dg KAI,0
448f9320-aa10-4435-819c-ba4dadb9f18b,Arga Avrilia Putri,5,2026-03-12 20:09:11,"baikk cepat, simpel",0
071008e0-c418-42fc-a738-b12b82e7b95e,ariya yonda,1,2026-03-12 19:50:22,"ini kenapa untuk payment ngga bisa, banyak opsi payment tp eror semua",0
6372b590-496f-4a10-80a8-86db99ddf3e7,Setiawan Herdiana,5,2026-03-12 19:18:56,Semoga gak gangguan saat Boarding di Stasiun,0
1aeb5243-c93d-4ffa-90a0-c7a8ad7b8a9f,Laonny Galuh V,2,2026-03-12 19:08:03,"kak tolong ini gak ada jadwal tiket lokal ke kertosono. gimana ini,sebentar lagi pan libur lebaran. kok malah ngelek gini?",0
b8aaf532-5918-46d8-8e4d-d4d79a84e74a,achmad oi,2,2026-03-12 18:42:25,"mahal amat biaya adminya top up 50k masuk 47,500,mending bayar lewat qris dari pada top up🤣🤣🤣",0
f1d79be0-f9df-413a-87ab-f7cc96957743,Mochammad Safirin,5,2026-03-12 17:46:47,saya suka amplikasi ini,0
10752385-3fb9-419f-87a7-5af676e9d212,Fary Aditya,5,2026-03-12 17:44:04,bagus banget,0
bda8fe8c-c98d-49dc-b3cc-dfece90f6813,Mas Darno,5,2026-03-12 17:22:07,"Perjalanan menyenangkan dan Aman, krn sdh didukung lingkungan yg bersiĥ, teratur dan nyaman.",0
26d6617c-1373-439f-85ba-d3a1b7513a2a,Ghifar,1,2026-03-12 15:46:56,"saya udah pesen tiket buat mudik. sekarang saya mau pesen lagi tiket buat baliknya tapi loading Mulu connect, padahal sinyal bagus tolong benerin. mau lebaran apk malah eror gajelas benerin pada niat kerja ga?. kalo tiket abis yang kasih tau tiket abis ini malah kadang muncul jadwal keretanya trus beberapa menit kemudian ilang lagi connect",0
a6e5d524-f43e-4607-9997-c28802da61bb,roy hardiansyah,5,2026-03-12 15:34:06,baik,0
407bb757-f04b-49e5-91e4-05d7ccd382ce,Sofiatul Mubarokah,1,2026-03-12 14:25:28,makin sini makin aneh nih apk. masa mau beli tiket gak muncul terus,0
